ID,Height,Age,Weight
109,176.0,23.0,64.0
117,178.0,22.0,78.0
166,168.0,29.0,57.0
243,194.0,23.0,96.0
247,170.0,24.0,63.0
274,184.0,24.0,70.0
554,186.0,31.0,115.0
556,183.0,25.0,72.0
824,189.0,27.0,70.0
887,183.0,28.0,75.0
887,183.0,32.0,75.0
1117,181.0,30.0,76.0
1227,167.0,28.0,64.0
1326,196.0,28.0,72.0
1326,196.0,28.0,72.0
1702,170.0,19.0,68.0
1707,184.0,25.0,100.0
1734,173.0,25.0,67.0
1789,170.0,22.0,60.0
1839,160.0,23.0,52.0
1866,179.0,18.0,73.0
1871,167.0,26.0,60.0
1913,160.0,31.0,54.0
1930,177.0,18.0,68.0
1994,170.0,30.0,66.0
2032,173.0,17.0,65.0
2090,163.0,36.0,60.0
2127,175.0,24.0,70.0
2131,170.0,18.0,67.0
2196,182.0,23.0,72.0
2200,195.0,24.0,102.5
2281,185.0,31.0,105.0
2352,190.0,25.0,83.0
2680,168.0,20.0,63.0
2698,170.0,19.0,62.0
2775,183.0,26.0,76.0
2896,185.0,24.0,80.0
2922,175.0,26.0,64.0
2943,165.0,27.0,55.0
3316,193.0,24.0,70.0
3392,181.0,25.0,76.0
3417,171.0,28.0,59.0
3550,169.0,23.0,64.0
3716,182.0,27.0,65.0
3858,171.0,22.0,78.0
4032,173.0,22.0,60.0
4058,178.0,18.0,70.0
4067,172.0,26.0,72.0
4172,196.0,25.0,94.0
4179,170.0,37.0,58.0
4247,182.0,22.0,78.0
4386,180.0,26.0,78.0
4430,187.0,25.0,73.0
4550,173.0,26.0,72.0
4630,182.0,30.0,83.0
4660,178.0,21.0,73.0
4681,170.0,18.0,63.0
4711,184.0,25.0,115.0
4997,183.0,24.0,70.0
5082,187.0,22.0,77.0
5159,190.0,31.0,125.0
5442,190.0,29.0,75.0
5482,178.0,22.0,68.0
5540,178.0,33.0,66.0
5561,183.0,26.0,77.0
5583,162.0,20.0,52.0
5592,184.0,27.0,74.0
5697,166.0,21.0,49.0
5717,179.0,26.0,68.0
5760,187.0,33.0,75.0
6025,183.0,24.0,77.0
6165,182.0,24.0,75.0
6190,168.0,30.0,67.0
6336,168.0,27.0,64.0
6523,200.0,28.0,77.0
6657,173.0,28.0,61.0
6660,190.0,20.0,70.0
6662,173.0,29.0,68.0
6688,190.0,20.0,82.0
6737,172.0,32.0,58.0
6945,185.0,24.0,74.0
7005,169.0,26.0,98.0
7306,187.0,22.0,67.0
7519,172.0,25.0,64.0
7565,187.0,23.0,70.0
7660,174.0,21.0,70.0
7935,189.0,21.0,75.0
7965,179.0,21.0,76.0
8048,190.0,23.0,80.0
8049,194.0,28.0,86.0
8134,174.0,28.0,60.0
8152,178.0,25.0,60.0
8162,170.0,18.0,64.0
8243,174.0,26.0,70.0
8526,169.0,30.0,61.0
8526,169.0,34.0,61.0
8603,178.0,25.0,65.0
8647,170.0,19.0,59.0
8971,185.0,24.0,95.0
9416,196.0,27.0,94.0
9559,173.0,25.0,64.0
9917,165.0,30.0,58.0
9920,165.0,23.0,55.0
10018,181.0,21.0,70.0
10153,168.0,21.0,62.0
10184,175.0,27.0,70.0
10188,170.0,22.0,64.0
10634,190.0,25.0,77.0
10681,193.0,21.0,90.0
10742,180.0,30.0,72.0
10798,180.0,29.0,66.0
11153,175.0,22.0,60.0
11208,169.0,26.0,58.0
11378,184.0,27.0,77.0
11433,175.0,21.0,72.0
11468,175.0,24.0,59.0
11611,172.0,31.0,80.0
11631,183.0,27.0,78.0
12167,178.0,30.0,69.0
12221,168.0,30.0,58.0
12221,168.0,38.0,58.0
12351,186.0,25.0,80.0
12351,186.0,29.0,80.0
12398,180.0,22.0,68.0
12455,193.0,26.0,84.0
12457,176.0,24.0,68.0
12837,189.0,22.0,82.0
12861,178.0,28.0,73.0
12960,180.0,19.0,78.0
12994,188.0,25.0,82.0
13058,177.0,19.0,70.0
13162,180.0,22.0,76.0
13162,180.0,26.0,76.0
13173,185.0,27.0,74.0
13463,178.0,22.0,70.0
13542,180.0,22.0,72.0
14020,185.0,32.0,72.0
14024,180.0,28.0,64.0
14054,185.0,27.0,68.0
14072,176.0,27.0,60.0
14077,173.0,18.0,54.0
14285,194.0,21.0,93.0
14341,181.0,25.0,70.0
14464,190.0,23.0,125.0
14489,175.0,22.0,78.0
14532,183.0,28.0,75.0
14553,180.0,25.0,65.0
14625,176.0,27.0,66.0
14940,175.0,22.0,70.0
15495,176.0,23.0,70.0
15543,175.0,29.0,57.0
15571,180.0,22.0,73.0
15580,180.0,23.0,84.0
15609,178.0,29.0,66.0
15669,198.0,30.0,140.0
15688,186.0,25.0,77.0
15975,183.0,36.0,80.0
16028,180.0,23.0,75.0
