ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
402,0,-5.95,-2.35,-3.38
402,0,-4.1,0.7,3.6
888,0,-1.95,0.65,-2.38
888,0,-1.74,1.55,1.32
1069,0,-1.78,-5.21,3.88
2045,0,-9.89,-25.01,-3.03
3360,0,-1.32,0.04,-0.32
4024,0,2.1,10.24,0.9
4115,0,0.68,-8.96,-1.32
4171,0,9.9,8.7,5.6
4172,0,6.41,6.62,-0.72
4172,0,6.05,6.65,3.62
4366,0,-1.32,4.04,0.68
4630,0,-3.09,-1.15,4.09
4673,0,-1.32,2.76,0.79
4866,0,-1.74,1.55,-0.68
4866,0,-0.1,3.7,2.6
5383,0,5.26,5.55,3.32
5991,0,5.05,4.29,-1.67
5991,1,3.91,3.85,2.09
6050,0,6.9,4.7,-0.4
6101,0,-6.59,-7.38,-1.72
6123,0,5.91,4.85,-5.91
6123,0,5.09,4.03,-1.12
6123,1,3.85,3.06,2.11
6165,0,-7.95,-12.35,-5.38
6165,0,-7.74,-11.45,-1.68
6989,0,-1.91,0.03,4.88
7137,0,4.22,5.79,0.88
7137,0,4.68,6.04,3.68
7564,0,5.09,8.03,0.88
8049,0,4.41,-1.38,-1.72
8049,0,4.05,-1.35,2.62
8143,0,4.05,6.65,-4.38
8143,0,4.26,7.55,-0.68
9249,0,-6.15,-6.94,0.11
9416,0,6.26,7.55,1.32
9998,0,-7.09,6.85,-0.91
10043,0,-1.89,-5.01,-1.03
10043,0,-2.78,-4.21,1.88
10043,0,-2.32,-3.96,4.68
10170,0,-12.91,-15.97,-2.12
10681,0,4.68,5.04,-6.32
10681,0,3.41,2.62,-0.72
10879,0,6.05,5.65,-3.38
11139,0,12.05,11.29,-1.67
11139,0,10.09,10.03,6.88
11350,0,-3.09,-8.15,-3.91
11433,0,-12.89,-14.01,-4.03
12153,0,0.1,-14.76,-0.1
12351,0,-2.32,-7.24,-0.21
12351,0,-1.89,-6.01,3.97
12475,0,-7.15,-10.94,-3.89
12554,0,5.93,9.13,-5.17
13434,0,0.56,2.28,4.88
13555,0,-2.91,-1.97,-1.12
14039,0,-8.32,-16.96,2.68
14143,0,-0.1,3.7,1.6
14768,0,-2.1,-1.3,-3.4
15095,0,0.56,-5.72,-1.12
15095,0,-0.32,-8.24,2.79
15280,0,4.93,2.13,-0.17
15304,0,-1.9,-11.76,-3.1
15375,0,-4.91,-4.97,2.88
16022,0,-12.07,-3.87,-5.17
16022,0,-11.95,-5.71,-2.67
16719,0,3.11,-2.01,-2.03
16819,0,2.22,-5.21,-5.12
16819,1,2.68,-4.96,-2.32
17201,0,-0.9,0.24,1.9
18383,0,0.91,0.85,-1.91
18759,0,2.41,3.62,3.28
20178,0,-13.09,-12.15,1.09
20791,0,5.05,-5.35,-2.38
20907,0,2.22,-0.21,-2.12
21947,0,-9.59,-4.38,-1.72
21947,1,-9.95,-4.35,2.62
22227,0,-3.74,-7.45,3.32
22227,0,-2.1,-5.3,6.6
23008,0,-4.44,-12.72,-3.12
23540,0,-4.59,-9.38,2.28
23540,0,-4.95,-9.35,6.62
23824,0,0.56,-0.72,3.88
24741,0,-1.89,3.99,-0.03
24811,0,-4.32,-1.96,3.68
25071,0,6.22,5.79,-4.12
25524,0,13.11,9.99,-1.03
26496,0,6.91,7.85,-2.91
26793,0,-2.32,5.76,0.79
26793,0,-1.89,6.99,3.97
28130,0,11.93,18.13,-4.17
28222,0,-8.44,-18.72,-3.12
28455,0,9.91,9.85,-0.91
28763,0,-2.1,-3.3,-0.4
28823,0,5.85,-0.94,1.11
28842,0,4.05,2.65,1.62
29625,0,6.22,0.79,-0.12
29940,0,-2.74,3.55,3.32
30006,0,-1.59,-4.38,-0.72
30104,0,-5.95,-7.35,-1.38
30221,0,-9.78,4.79,-5.12
30221,0,-9.32,5.04,-2.32
30379,0,-5.74,-1.45,-3.68
30379,0,-4.1,0.7,-0.4
30920,0,-1.95,-1.71,-1.67
30920,0,-3.09,-2.15,2.09
31001,0,-2.78,4.79,-2.12
31001,1,-2.32,5.04,0.68
31001,1,-3.59,2.62,6.28
31125,0,8.91,8.85,-2.91
31205,0,-3.74,-5.45,-1.68
31205,1,-2.1,-3.3,1.6
31458,0,5.93,9.13,-3.17
31808,0,2.11,3.99,1.97
32478,0,-0.95,-6.71,0.33
32771,0,-2.07,-7.87,-2.17
33005,0,1.26,0.55,0.32
33112,0,-8.44,-2.72,0.88
34559,0,-7.74,-10.45,-1.68
34559,0,-6.1,-8.3,1.6
34805,0,7.56,7.28,-1.12
35047,0,2.22,-0.21,-4.12
