ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
86,0,0.38,-10.12,1.97
2469,0,15.21,45.73,2.23
5159,0,4.86,39.63,1.46
6025,0,-1.4,-5.43,2.41
6076,0,19.58,2.82,-0.82
6448,0,6.38,-7.12,-2.03
6594,1,10.6,19.57,1.41
6594,2,10.21,17.73,5.23
6890,1,-1.4,-0.43,2.41
7968,1,10.6,49.57,4.41
8204,0,4.49,-20.64,-4.67
8204,1,4.9,-19.18,-0.82
8794,0,8.31,-7.52,-1.58
9026,0,9.42,-8.08,-2.52
9343,0,-5.58,-4.08,0.48
11143,1,12.47,56.44,-0.27
11988,2,5.6,-3.43,4.41
12086,1,-5.51,-5.64,-3.67
12946,3,-8.79,-9.27,0.23
13029,1,10.86,9.63,-4.54
13029,4,10.49,9.36,-0.67
13029,5,10.9,10.82,3.18
13131,0,12.9,-7.18,0.18
13691,1,1.31,1.48,-2.58
13797,0,5.76,-4.02,-3.04
13797,1,5.67,-4.04,0.43
13797,2,5.42,-4.08,4.48
14544,0,8.76,10.98,0.96
14810,0,-2.1,-9.18,-3.82
15001,0,0.02,-4.03,0.31
15075,0,9.31,37.48,-1.58
15730,0,3.76,0.98,-6.04
15730,1,3.67,0.96,-2.57
17213,0,-8.59,-15.31,-2.05
17213,1,-9.4,-17.43,1.41
17437,1,3.76,-3.02,2.96
17606,0,-5.14,-6.37,0.46
18655,0,7.38,49.88,-1.03
18683,0,14.42,14.92,-1.52
18740,0,5.16,-2.39,-2.39
18740,1,5.47,0.44,1.73
19335,0,-9.1,-19.18,0.18
21313,1,6.58,14.82,3.18
21313,2,5.41,13.69,6.95
21954,0,-4.51,-13.64,-4.67
22157,0,13.76,23.98,-2.04
22207,3,-6.62,-23.12,2.97
22418,0,6.31,5.48,-2.58
22821,0,0.58,-11.18,-3.82
23668,0,4.38,-8.12,-1.03
23735,0,1.6,-3.43,1.41
23735,1,1.21,-5.27,5.23
23974,0,15.9,40.82,-2.82
25157,0,11.67,44.96,2.43
25157,1,11.42,44.92,6.48
25284,0,16.38,47.88,6.97
25546,0,4.42,5.92,0.48
25546,1,3.16,2.61,8.61
26135,0,-9.1,-14.18,-4.82
27323,0,2.47,27.44,-2.27
28811,0,-10.14,-5.37,-3.54
28834,0,4.31,-8.52,-2.58
29075,0,-0.59,39.69,4.95
29233,0,4.47,8.44,-3.27
30097,1,10.9,-1.18,0.18
30135,0,6.31,-4.52,-3.58
30313,0,6.6,32.57,-1.59
31890,0,-8.79,-26.27,-0.77
31890,1,-8.98,-27.03,3.31
31940,0,-3.59,-19.31,-2.05
32217,0,8.38,17.88,4.97
32339,0,-0.24,-10.02,-2.04
33421,0,-2.62,-7.12,-2.03
35268,0,-14.33,-11.04,1.43
36356,0,15.41,-2.31,-7.05
36401,0,11.42,4.92,-3.52
36933,3,-4.4,-9.43,2.41
37034,0,9.47,5.44,-6.27
38037,0,-0.4,-0.43,-0.59
38508,0,4.21,-5.27,-1.77
38508,1,4.02,-6.03,2.31
39035,4,0.9,-4.18,8.18
40155,0,-0.98,-7.03,-0.69
40969,0,8.6,46.57,-1.59
40969,1,8.21,44.73,2.23
42158,0,5.49,-4.64,-1.67
42211,1,-3.62,-7.12,-4.03
42662,0,-8.58,-9.08,-1.52
42668,0,-0.59,-10.31,-0.05
42668,1,-1.4,-12.43,3.41
42669,0,-8.79,-4.27,0.23
42669,2,-8.98,-5.03,4.31
43949,0,17.58,48.82,2.18
44060,0,10.42,47.92,3.48
45004,0,1.42,-3.08,-3.52
45314,0,4.21,-14.27,-2.77
45590,0,4.47,26.44,4.73
45709,0,1.67,-3.04,-1.57
46056,0,-1.79,25.73,0.23
46275,0,21.9,35.82,0.18
46277,0,15.49,40.36,1.33
47518,0,15.02,-1.03,5.31
47578,0,-2.1,1.82,1.18
48599,0,4.31,-3.52,-2.58
48696,1,1.42,2.92,-2.52
49448,0,-3.98,-14.03,2.31
49626,0,-2.51,-7.64,-3.67
49708,0,1.38,-7.12,0.97
49812,0,1.86,-3.37,0.46
53098,0,-0.42,-4.18,-3.82
53492,0,-5.51,-19.64,-6.67
53493,0,-0.58,-8.08,-4.52
54094,0,-6.24,-13.02,-0.04
54652,0,-1.33,-1.04,-0.57
55323,0,-6.4,-12.43,-0.59
55335,0,-4.62,-2.12,-2.03
55430,1,-1.4,-5.43,2.41
55430,3,-1.79,-7.27,7.23
55667,1,-1.33,-2.04,1.43
56064,0,11.16,-10.39,-4.39
56170,0,7.16,2.61,0.61
57280,1,10.49,39.36,7.33
58067,1,1.76,-2.02,-0.04
58429,0,-8.58,-12.08,3.48
58429,2,-8.69,-12.52,7.42
58688,0,-0.1,-4.18,-2.82
60544,0,-6.58,-0.58,1.48
60596,0,0.6,-9.43,-0.59
60941,0,2.41,-3.31,0.95
62796,0,13.58,23.32,2.18
63392,0,-2.1,49.82,1.18
63428,0,19.02,46.97,-0.69
63456,0,6.86,24.63,0.46
63549,0,4.47,3.44,1.73
64326,0,18.21,45.73,-0.77
64342,0,8.76,14.98,5.96
64793,0,7.47,19.44,-3.27
64805,2,2.42,3.92,9.48
65854,0,-11.79,-26.27,-0.77
66349,0,3.76,2.98,3.96
66747,0,4.67,-1.04,5.43
67233,0,-8.51,-14.64,-0.67
67233,1,-8.1,-13.18,3.18
68394,0,1.67,-3.04,1.43
68787,0,-9.53,-14.56,-0.27
69210,2,6.38,2.88,-1.03
69210,4,5.58,0.82,2.18
69210,7,4.41,-0.31,5.95
69210,9,3.6,-2.43,9.41
69259,1,5.58,4.82,-5.82
69259,2,4.41,3.69,-2.05
71196,0,11.76,39.98,-4.04
72208,0,4.86,-6.37,-2.54
72466,0,-1.33,11.96,0.43
72466,2,-1.69,11.48,8.42
72605,0,12.41,39.69,-0.05
73021,0,2.02,-4.03,5.31
73758,0,18.86,56.63,0.46
73758,1,18.49,56.36,4.33
73817,1,7.02,14.97,5.31
73857,1,-15.1,-17.18,2.18
75800,0,0.02,46.97,3.31
76156,0,9.86,-5.37,-0.54
76534,1,18.42,41.92,-1.52
76946,0,10.76,10.98,-1.04
77152,0,7.86,44.63,-0.54
77152,1,7.9,45.82,7.18
77654,0,1.38,-0.12,-4.03
78962,0,2.49,-13.64,1.33
78964,0,5.86,0.63,-3.54
78964,3,5.9,1.82,4.18
79633,0,1.67,2.96,2.43
79915,0,1.42,0.92,-2.52
79915,1,1.31,0.48,0.42
80287,0,10.16,48.61,1.61
80848,0,0.02,-7.03,-2.69
81060,0,4.86,-9.37,-2.54
81861,0,-9.4,-22.43,0.41
82268,0,-3.24,-8.02,0.96
82541,0,-8.33,-6.04,-1.57
83305,0,2.47,1.44,2.73
85183,0,-1.79,35.73,-0.77
85183,1,-1.98,34.97,3.31
85535,0,7.86,-8.37,-1.54
85913,1,8.76,23.98,2.96
87674,2,8.76,32.98,3.96
87787,0,10.02,-6.03,-0.69
88018,0,-4.33,-8.04,0.43
88073,1,10.76,46.98,-1.04
88073,2,10.67,46.96,3.43
88881,0,-0.98,56.97,1.31
89553,0,-3.1,-7.18,-0.82
90010,0,4.38,17.88,3.97
90034,0,-2.58,-11.08,-0.52
90192,0,0.47,-8.56,-0.27
91361,0,10.49,4.36,-3.67
91841,0,9.41,-9.31,-3.05
92406,0,-2.14,-6.37,0.46
94469,0,0.02,-12.03,0.31
94531,0,0.49,4.36,1.33
95232,0,9.86,8.63,-0.54
96598,0,18.58,-4.18,1.18
96625,0,5.16,28.61,4.61
96625,1,6.38,32.88,12.97
96628,0,5.58,-2.18,-0.82
96628,1,4.41,-3.31,2.95
97925,0,-1.62,-3.12,-2.03
98143,1,-1.24,-17.02,-4.04
98608,0,18.67,7.96,-3.57
98959,0,5.47,28.44,4.73
99139,0,7.58,25.82,1.18
99139,1,6.41,24.69,4.95
99139,2,5.6,22.57,8.41
100254,1,10.58,4.82,-0.82
100537,0,2.49,-8.64,0.33
100682,0,14.6,27.57,3.41
100682,1,14.21,25.73,7.23
101412,0,6.31,-4.52,-0.58
101412,1,5.16,-7.39,3.61
101483,0,5.86,-5.37,-4.54
102024,0,6.9,7.82,-1.82
102421,0,-20.42,-25.18,-3.82
103686,1,2.9,7.82,3.18
103820,0,12.86,-2.37,1.46
103917,0,6.42,-2.08,-3.52
105434,1,-6.69,-9.52,1.42
106561,1,5.47,1.44,-3.27
106908,0,-4.58,-9.08,0.48
107077,0,1.31,21.48,-0.58
107151,0,16.16,33.61,-2.39
