ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
37083,1,1.85,0.36,12.12
63807,0,5.85,19.36,-1.88
26835,0,6.94,40.69,8.05
81312,0,11.51,10.55,-5.03
48173,0,-0.55,-5.46,-0.3
98143,1,1.53,-11.44,-5.05
79272,0,-6.49,-21.45,-4.03
119229,1,7.45,5.54,0.7
48117,0,-3.68,-9.07,-2.3
62815,0,-14.02,-8.84,-3.23
30135,1,7.85,-0.64,0.12
33537,0,1.43,-0.73,-2.18
38252,2,-7.07,-12.88,4.77
125730,0,-4.02,-2.84,2.77
26509,1,6.5,3.93,1.14
29947,0,4.45,0.54,-0.3
64793,0,10.5,25.93,-3.86
24043,0,7.81,2.38,-3.72
100730,0,7.81,40.38,8.28
47515,2,7.98,-0.84,2.77
31890,2,-5.62,-18.88,2.83
55396,0,0.98,-2.84,-4.23
13029,1,14.43,18.27,-5.18
70201,0,-4.55,-6.46,1.7
89301,0,9.38,8.12,-4.17
96628,0,8.32,3.93,-1.3
86955,0,-1.07,0.12,0.77
105434,1,-4.02,-3.84,0.77
129356,0,21.45,47.54,-3.3
103933,0,-5.47,-8.44,1.95
98959,0,8.5,34.93,4.14
26375,0,-15.49,-10.45,-3.03
60628,0,-6.06,-15.31,-1.95
6025,0,1.94,1.69,2.05
118855,2,6.43,7.27,2.82
26135,2,-4.9,-4.48,-5.61
115148,0,-1.02,-7.84,-2.23
65854,1,-8.62,-18.88,2.83
13029,0,14.43,18.27,-5.18
67640,0,2.68,0.15,4.4
32862,0,8.32,-4.07,-4.3
95602,0,-9.15,-11.64,-3.88
46209,0,-3.06,1.69,5.05
134278,1,4.68,12.15,0.4
120385,0,14.32,44.93,-0.3
79928,0,-1.57,-9.73,-5.18
26135,0,-4.9,-4.48,-5.61
7430,0,0.93,2.12,-3.23
115470,1,16.85,6.36,-2.88
18216,0,-3.02,-9.84,-0.23
60589,0,-14.62,-19.88,-7.17
94122,0,0.5,7.93,0.14
128039,0,12.45,16.54,-3.3
55430,2,1.94,1.69,2.05
6272,0,6.51,7.55,-6.03
62308,0,16.98,52.16,6.77
76433,2,-2.9,1.52,5.39
105437,0,-0.32,-8.85,2.4
97822,0,-5.15,-4.64,0.12
18740,0,7.85,4.36,-2.88
70477,1,-12.15,-12.64,2.12
100537,0,6.16,0.13,-0.29
83453,1,-1.68,0.93,2.7
103917,0,8.93,3.12,-4.23
17985,0,11.43,77.27,0.82
57573,0,1.32,-11.07,1.7
94696,0,4.68,10.15,3.4
46370,1,3.53,-1.44,-2.05
61238,1,5.93,30.12,9.77
22207,0,-4.5,-18.07,-1.86
66192,0,-3.06,-12.31,5.05
82416,1,6.81,0.38,3.28
116102,0,-0.57,-8.73,-6.18
111505,0,20.81,12.38,-5.72
15001,1,3.38,4.12,-0.17
48599,0,6.98,2.16,-3.23
85567,1,-5.15,-6.64,2.12
106561,1,8.5,7.93,-3.86
60941,0,5.68,3.15,0.4
123034,1,22.68,46.15,6.4
57714,0,16.38,21.12,-3.17
128646,1,-0.9,-12.48,-2.61
105429,0,8.93,5.12,-2.23
104098,0,13.98,39.16,-2.23
61238,0,6.45,30.54,5.7
75388,1,-2.32,1.15,-1.6
78962,0,6.16,-4.87,0.71
5991,0,10.45,15.54,-1.3
1569,2,4.68,7.15,7.4
101412,0,8.98,1.16,-1.23
119229,0,7.53,5.56,-3.05
29966,0,7.98,10.16,1.77
9737,0,-9.19,-15.62,4.28
31001,0,4.94,14.69,-1.95
6389,0,1.43,-11.73,2.82
134278,2,3.94,10.69,4.05
39035,4,5.1,5.52,7.39
11988,1,8.94,3.69,4.05
103041,0,3.32,-5.07,-0.3
53094,0,-8.57,-7.73,-1.18
65925,0,-9.49,-14.45,5.97
71196,0,14.53,45.56,-5.05
8152,0,-3.84,-16.87,-5.29
36933,2,-1.06,-2.31,2.05
90192,0,3.5,-2.07,-0.86
92971,0,12.68,19.15,-2.6
21990,2,7.1,11.52,3.39
39291,1,-16.49,-20.45,0.97
121637,0,6.51,7.55,-5.03
93365,0,-9.49,-4.45,4.97
49611,3,-1.02,4.16,10.77
109425,0,6.51,5.55,-3.03
33177,0,-6.06,-11.31,-1.95
58366,0,-13.5,-27.07,1.14
99753,0,0.98,-7.84,5.77
100388,0,8.94,19.69,-2.95
85535,0,11.43,0.27,-2.18
17750,0,8.32,3.93,2.7
963,0,6.94,4.69,0.05
60618,0,-9.84,-20.87,-3.29
55420,0,3.51,9.55,-0.03
28811,0,-6.57,3.27,-4.18
128757,2,6.43,-5.73,-2.18
86,0,2.81,-4.62,1.28
98608,0,21.45,13.54,-4.3
5149,0,7.81,4.38,-0.72
80204,0,-2.9,10.52,-5.61
115115,0,3.38,4.12,0.83
89553,0,1.1,2.52,-1.61
112772,0,-13.57,-23.73,-4.18
10188,0,-9.19,-7.62,-2.72
69693,0,2.5,1.93,0.14
54164,0,3.81,3.38,-2.72
103864,0,-12.19,-16.62,4.28
46638,2,3.51,2.55,-0.03
96625,0,7.85,35.36,4.12
102421,0,-17.68,-19.07,-4.3
9185,0,11.5,9.93,-0.86
13029,4,14.16,18.13,-1.29
106561,0,8.5,7.93,-3.86
101292,0,7.1,7.52,0.39
72466,1,0.93,17.12,3.77
65978,0,1.45,2.54,-3.3
1270,0,-8.32,-9.85,0.4
135164,0,5.68,14.15,-2.6
113752,0,-1.47,-1.44,-1.05
75388,0,-2.32,1.15,-1.6
58843,1,1.53,-2.44,-3.05
128283,0,4.1,45.52,-2.61
22676,1,4.68,4.15,3.4
17213,1,-6.06,-10.31,1.05
119949,0,6.43,3.27,-3.18
79973,0,-6.06,-7.31,-1.95
121637,1,6.38,7.12,-1.17
83738,0,-11.19,-17.62,3.28
128815,0,4.85,-3.64,-3.88
76534,0,21.45,47.54,-6.3
108127,0,4.51,11.55,-1.03
117552,0,5.53,4.56,-0.05
47515,1,7.98,-0.84,2.77
42296,0,-1.68,-1.07,-3.3
21954,2,0.1,-2.48,-1.61
90922,1,5.45,-0.46,5.7
56308,0,15.98,12.16,-4.23
22002,0,-0.9,-0.48,-1.61
130471,0,12.85,40.36,0.12
112543,0,0.53,7.56,-4.05
118780,0,6.51,3.55,1.97
34208,0,-6.62,1.12,-6.17
22710,0,6.81,6.38,1.28
106908,0,-2.07,-3.88,-0.23
69854,0,-5.9,-7.48,-0.61
41634,1,-4.19,-7.62,7.28
118855,3,6.16,7.13,6.71
87651,0,6.94,8.69,4.05
17476,0,-0.68,1.93,0.7
48143,0,4.68,8.15,7.4
69210,8,7.68,6.15,5.4
77470,0,1.94,9.69,-4.95
73758,0,22.43,65.27,-0.18
105429,1,8.98,5.16,0.77
45314,0,7.51,-6.45,-3.03
67307,0,-4.19,4.38,-1.72
36996,0,3.93,9.12,-4.23
88073,2,13.45,52.54,2.7
77519,1,1.38,-1.88,5.83
113380,0,12.68,6.15,-1.6
36933,3,-1.06,-2.31,2.05
74084,1,2.5,-4.07,4.14
104586,0,1.43,-6.73,-1.18
