ID,MedalEarned
90013,1
121637,1
134843,1
36911,1
119808,1
111505,1
85513,1
36996,1
130657,1
94122,1
65854,1
125359,1
122606,1
69210,1
17750,1
108072,1
83925,1
4094,1
13691,1
110475,1
55396,1
49109,1
22207,1
86915,1
112403,1
118220,1
73857,1
103120,1
39035,1
6810,1
15669,1
134278,1
79774,1
8385,1
8417,1
25635,1
120054,1
46193,1
75163,1
6594,1
85567,1
41810,1
65542,1
38590,1
64805,1
2469,1
131761,1
71196,1
122581,1
112011,1
88073,1
129356,1
46063,1
6662,1
2469,1
60514,1
12946,1
73817,1
65568,1
88748,1
86915,1
130657,1
72466,1
33457,1
57370,1
56308,1
77761,1
104586,1
46638,1
55667,1
107643,1
100464,0
34833,0
24497,0
114225,0
39598,0
115294,0
69782,0
20810,0
8238,0
81581,0
77612,0
39191,0
85183,0
6998,0
36358,0
12023,0
44446,0
36146,0
89729,0
3624,0
14341,0
4094,0
119759,0
65080,0
26499,0
99692,0
94923,0
32338,0
78085,0
611,0
27734,0
76044,0
97009,0
38753,0
49901,0
47431,0
14013,0
41295,0
45533,0
99811,0
48584,0
11543,0
7117,0
54146,0
130343,0
79979,0
121837,0
63779,0
66274,0
79766,0
116069,0
97506,0
107655,0
105489,0
79106,0
991,0
115732,0
40034,0
15669,0
131049,0
82253,0
111885,0
116066,0
61492,0
121696,0
71969,0
70701,0
81764,0
72423,0
21353,0
75031,0
