,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
703,402,Arthur Abele,M,22.0,184.0,85.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-5.95,-2.35,-3.38
704,402,Arthur Abele,M,30.0,184.0,85.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,0,-4.1,0.7,3.6
1593,888,Jangy McKinley Addy,M,23.0,188.0,88.0,Liberia,LBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-1.95,0.65,-2.38
1594,888,Jangy McKinley Addy,M,27.0,188.0,88.0,Liberia,LBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,-1.74,1.55,1.32
1935,1069,Nikolay Konstantinovich Afanasyev,M,30.0,187.0,80.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-1.78,-5.21,3.88
3575,2045,Ibrahim Nasser Al-Matrooshi,M,22.0,178.0,61.0,United Arab Emirates,UAE,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,-9.89,-25.01,-3.03
5985,3360,Klaus Ambrosch,M,27.0,187.0,85.0,Austria,AUT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-1.32,0.04,-0.32
7199,4024,Atanas Vasilev Andonov,M,25.0,190.0,95.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,,0,0,2.1,10.24,0.9
7352,4115,Georgios Andreou,M,26.0,189.0,76.0,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,0.68,-8.96,-1.32
7459,4171,Leonid Vladimirovich Andreyev,M,32.0,198.0,93.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,0,9.9,8.7,5.6
7460,4172,Pavel Vladimirovich Andreyev,M,25.0,196.0,94.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,6.41,6.62,-0.72
7461,4172,Pavel Vladimirovich Andreyev,M,29.0,196.0,94.0,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,6.05,6.65,3.62
7879,4366,Mrio Ramos Dias Sampaio Anbal,M,28.0,187.0,89.0,Portugal,POR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-1.32,4.04,0.68
8412,4630,Charlemagne Anyamah,M,30.0,182.0,83.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,0,-3.09,-1.15,4.09
8490,4673,Oleksandr Valentynovych Apaichev,M,26.0,187.0,90.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,-1.32,2.76,0.79
8861,4866,Luiz Alberto Cardoso de Arajo,M,25.0,188.0,88.0,Brazil,BRA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,-1.74,1.55,-0.68
8862,4866,Luiz Alberto Cardoso de Arajo,M,29.0,188.0,88.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,0,-0.1,3.7,2.6
9831,5383,Rifat Rimatovich Artikov,M,29.0,195.0,92.0,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,5.26,5.55,3.32
10964,5991,Rein Aun,M,24.0,189.0,88.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,Silver,1,0,5.05,4.29,-1.67
10965,5991,Rein Aun,M,28.0,189.0,88.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,1,3.91,3.85,2.09
11072,6050,Bastien Auzeil,M,26.0,195.0,89.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,0,6.9,4.7,-0.4
11169,6101,Nikolay Sergeyevich Averyanov,M,24.0,183.0,80.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,-6.59,-7.38,-1.72
11197,6123,Mykola Viktorovych Avilov,M,20.0,191.0,89.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,0,5.91,4.85,-5.91
11198,6123,Mykola Viktorovych Avilov,M,24.0,191.0,89.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,Gold,1,0,5.09,4.03,-1.12
11199,6123,Mykola Viktorovych Avilov,M,27.0,191.0,89.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,Bronze,1,1,3.85,3.06,2.11
11270,6165,Daniel James Awde,M,20.0,182.0,75.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-7.95,-12.35,-5.38
11271,6165,Daniel James Awde,M,24.0,182.0,75.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,-7.74,-11.45,-1.68
12857,6989,Jzsef Bakai,M,30.0,184.0,85.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-1.91,0.03,4.88
13130,7137,Eugenio Balanqu Llpiz,M,27.0,193.0,91.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,4.22,5.79,0.88
13131,7137,Eugenio Balanqu Llpiz,M,31.0,193.0,91.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,4.68,6.04,3.68
13986,7564,"Jeffrey Granville ""Jeff"" Bannister",M,26.0,191.0,93.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,5.09,8.03,0.88
14909,8049,Romain Barras,M,24.0,194.0,86.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,4.41,-1.38,-1.72
14910,8049,Romain Barras,M,28.0,194.0,86.0,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,4.05,-1.35,2.62
15088,8143,Gonzalo Barroilhet Costabal,M,21.0,194.0,94.0,Chile,CHI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,4.05,6.65,-4.38
15089,8143,Gonzalo Barroilhet Costabal,M,25.0,194.0,94.0,Chile,CHI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,4.26,7.55,-0.68
17301,9249,Bjrn Runald Beckman,M,25.0,181.0,79.0,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,-6.15,-6.94,0.11
17693,9416,Pascal Behrenbruch,M,27.0,196.0,94.0,Germany,GER,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,6.26,7.55,1.32
18864,9998,Kurt Bendlin,M,25.0,178.0,91.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,Bronze,1,0,-7.09,6.85,-0.91
18977,10043,Francisco Javier Benet Martn,M,24.0,186.0,81.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,-1.89,-5.01,-1.03
18978,10043,Francisco Javier Benet Martn,M,28.0,186.0,81.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-2.78,-4.21,1.88
18979,10043,Francisco Javier Benet Martn,M,32.0,186.0,81.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-2.32,-3.96,4.68
